model,TDP
Any, 107.69
A8-7680,45.0
A9-9425 SoC,15.0
AMD 7552,200.0
AMD EPYC 7251,120.0
Athlon 3000G,35.0
Core 2 Quad Q6600,95.0
Core i3-10100,65.0
Core i3-10300,62.0
Core i3-10320,91.0
Core i3-10350K,91.0
Core i3-9100,65.0
Core i3-9100F,65.0
Core i5-10400,65.0
Core i5-10400F,65.0
Core i5-10500,65.0
Core i5-10600,65.0
Core i5-10600K,95.0
Core i5-3570K,77.0
Core i5-4460,84.0
Core i5-9400,65.0
Core i5-9400F,65.0
Core i5-9600KF,95.0
Core i7-10700,65.0
Core i7-10700K,125.0
Core i7-4930K,130.0
Core i7-6700K,95.0
Core i7-8700K,95.0
Core i7-9700F,65.0
Core i7-9700K,95.0
Core i9-10900K,125.0
Core i9-10900KF,105.0
Core i9-10900XE,165.0
Core i9-10920XE,165.0
Core i9-9900K,95.0
FX-6300,95.0
FX-8350,125.0
Ryzen 3 2200G,65.0
Ryzen 3 3200G,65.0
Ryzen 3 3200U,15.0
Ryzen 5 1600,65.0
Ryzen 5 2600,65.0
Ryzen 5 3400G,65.0
Ryzen 5 3500U,15.0
Ryzen 5 3600,65.0
Ryzen 5 3600X,95.0
Ryzen 7 2700X,105.0
Ryzen 7 3700X,65.0
Ryzen 7 3800X,105.0
Ryzen 9 3900X,125.0
Ryzen 9 3950X,105.0
Ryzen Threadripper 2990WX,250.0
Ryzen Threadripper 3990X,280.0
Xeon E5-2660 v3,105.0
Xeon E5-2665,115.0
Xeon E5-2670,115.0
Xeon E5-2670 v2,115.0
Xeon E5-2680 v3,120.0
Xeon E5-2683 v4,120.0
Xeon E5-2690 v2,130.0
Xeon E5-2690 v3,135.0
Xeon E5-2695 v4,120.0
Xeon E5-2697 v4,145.0
Xeon E5-2699 v3,145.0
Xeon E5-2699 v4,145.0
Xeon E5-4610 v4,105.0
Xeon E5-4620,95.0
Xeon E5-4650L,115.0
Xeon E7-8867 v3,165.0
Xeon E7-8880 v4,150.0
Xeon Gold 6142,150.0
Xeon Gold 6148,150.0
Xeon Gold 6248,150.0
Xeon Gold 6252,150.0
Xeon L5640 ,60.0
Xeon Phi 5110P,225.0
Xeon Platinum 9282,400.0
Xeon X3430,95.0
Xeon X5660,95.0
